Census Tract, Total Population,California County,ZIP,"Nearby City 
(to help approximate location only)",Longitude,Latitude,DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0
Percentile Range",Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6013385100,2953,Contra Costa,94530,El Cerrito,-122.2954872,37.9242735,7.95,9.41,5-10%,0.030,6.48,8.831076151,33.57,0.042,15.30,108.41,3.93,47.51,47.73,0.00,0.00,1622.586344,69.79,400.1634063,14.14,0.2,3.12,1.3,10.84,0.01,8.74,1,13.12,3,62.71,22.48,2.77,6.58,35.51,34.41,5.26,59.19,7.36,9.45,1.3,2.97,6,42.95,14,18.13,4.6,31.32,9.3,9.88,27.70,2.87,16.96
6111005907,3549,Ventura ,91361,Westlake Village,-118.8464045,34.1376331,7.94,9.39,5-10%,0.047,52.01,9.32257741,42.25,0.099,37.00,699.13,68.76,20.32,12.38,0.00,0.00,65.52309797,22.93,1366.8286,74.36,0.9,13.01,32.3,82.25,0,0.00,10,84.20,0,0.00,37.77,4.65,41.03,16.64,5.23,3.4,14.49,9.13,22.10,3.3,12.41,2.8,22.13,12.1,13.81,3,11.93,14.6,34.67,16.46,1.71,4.78
6085512045,5566,Santa Clara,95123,San Jose,-121.8352576,37.2384727,7.94,9.38,5-10%,0.040,25.30,8.112129977,15.01,0.058,21.19,425.67,38.91,29.39,23.25,0.00,0.00,38.30536777,19.26,1175.423779,67.69,0,0.00,4,27.76,0,0.00,0,0.00,0,0.00,19.40,2.39,3.39,51.41,58.37,3.22,11.64,11.59,43.02,6,25.56,5.8,41.83,9.8,8.76,5.6,43.81,9.9,12.16,32.05,3.32,22.91
6041121200,6126,Marin ,94925,Corte Madera,-122.4958083,37.9402451,7.93,9.37,5-10%,0.030,5.99,8.618119207,26.86,0.238,68.41,194.45,6.43,35.93,31.49,0.00,0.00,841.9296876,57.81,2869.19225,95.19,2.4,29.90,23,73.17,0.325,62.72,11,87.97,7.5,84.80,46.92,5.78,67.21,12.57,1.89,2.73,6.34,6.77,6.61,4.6,19.03,0,0.00,13.4,16.60,3.7,19.73,18.2,52.42,13.25,1.37,2.62
6059075702,3661,Orange ,92780,Tustin,-117.8143983,33.7587899,7.93,9.36,5-10%,0.048,56.05,11.84627233,71.15,0.052,18.66,387.39,32.19,41.50,39.35,0.04,18.09,8139.193276,96.15,642.2321054,31.56,0.25,4.82,11.5,52.51,0.025,16.41,0,0.00,0,0.00,35.18,4.33,33.52,27.93,21.66,2.45,4.08,8.22,14.89,6.9,29.21,1.7,12.70,11.3,12.05,1.9,3.80,17.9,51.05,17.65,1.83,5.66
6073009805,4876,San Diego,92119,San Diego,-117.0343554,32.8156078,7.92,9.34,5-10%,0.047,49.56,9.244945659,41.17,0.012,4.48,301.09,19.77,29.90,23.78,0.00,0.00,143.8529333,31.17,432.9013949,16.13,0,0.00,3,22.97,0,0.00,8,73.64,0,0.00,21.95,2.70,5.81,31.09,26.92,4.59,40.94,9.1,21.87,3.5,13.63,2.6,20.87,11.9,13.38,5.9,47.45,15.2,37.76,28.27,2.93,17.62
6085509401,3841,Santa Clara,94306,Palo Alto,-122.1144543,37.4069811,7.92,9.33,5-10%,0.034,11.96,8.181223218,16.10,0.453,87.67,526.06,51.05,39.39,36.20,0.00,0.00,94.42283377,26.33,1293.124956,72.08,3.5,36.17,9,45.21,0,0.00,0,0.00,0,0.00,30.54,3.76,21.68,12.05,1.61,3.83,22.65,6.26,4.44,7.2,30.45,12.9,71.23,11.8,13.14,3.9,22.06,11.4,18.39,20.31,2.11,8.32
6087120301,5360,Santa Cruz,95005,Ben Lomond,-122.091668,37.0994152,7.89,9.32,5-10%,0.035,14.18,6.081998318,3.46,0.010,3.90,738.70,77.35,54.96,58.42,0.00,0.00,21.86926653,15.54,526.0447097,23.04,2.25,29.44,19.5,68.35,0,0.00,9,78.41,9,88.92,34.00,4.18,30.35,17.78,6.16,4.12,29.46,6.57,5.82,1.9,5.35,1.5,11.19,27.2,45.90,2.5,7.62,16.2,42.68,18.18,1.88,6.17
6037300100,5769,Los Angeles,91214,La Crescenta,-118.2325716,34.2442558,7.88,9.31,5-10%,0.059,81.23,11.11453417,55.92,0.016,5.99,957.27,97.53,50.72,52.27,0.13,25.32,546.2076721,48.23,114.5982218,1.40,0,0.00,2.25,17.47,0,0.00,0,0.00,0,0.00,31.82,3.92,24.62,26.19,18.63,3.69,19.93,10.2,31.46,2.4,7.63,1.1,7.56,8.6,6.48,2.5,7.62,17.3,48.17,19.41,2.01,7.34
6087120302,3148,Santa Cruz,95005,Ben Lomond,-122.0886342,37.080028,7.87,9.29,5-10%,0.035,13.86,5.998990048,3.15,0.049,17.41,671.65,65.22,63.94,71.28,0.00,0.00,18.9432335,14.28,645.4953904,31.75,0,0.00,8.5,43.71,0,0.00,9,78.41,1.5,39.94,28.88,3.55,18.25,21.54,11.04,3.25,12.14,7.02,7.74,6.5,27.63,0,0.00,24.7,41.01,2.6,8.26,28,85.10,21.35,2.21,9.43
6037800332,6355,Los Angeles,91301,Agoura Hills,-118.773167,34.1610356,7.87,9.28,5-10%,0.050,60.90,9.536805374,44.84,0.039,13.94,643.91,61.19,10.50,4.36,0.01,11.17,69.2464994,23.31,696.9893288,35.88,1,18.72,0,0.00,0.025,16.41,13,92.08,0,0.00,29.78,3.67,20.25,17.25,5.70,5.75,69.99,10.37,32.79,1.7,4.58,0.4,0.87,10.4,10.01,2,4.27,8.2,6.56,20.71,2.15,8.73
6037621104,7074,Los Angeles,90254,Hermosa Beach,-118.3992831,33.8575404,7.87,9.27,5-10%,0.040,23.58,11.9049452,73.34,0.231,67.28,284.03,15.91,38.74,35.12,0.00,0.00,2403.126668,76.21,1277.699854,71.59,4.5,42.96,20,69.27,0.1,41.46,5,52.00,0,0.00,43.97,5.41,59.23,14.07,2.93,4.72,44.47,7.11,8.19,2.8,9.74,0.5,1.98,12.5,14.64,1.7,2.86,11.4,18.39,14.02,1.45,3.13
6029000503,8212,Kern ,93314,Bakersfield,-119.0955184,35.4306701,7.87,9.26,5-10%,0.062,91.15,14.99185192,98.88,0.117,42.60,897.03,95.23,10.43,4.26,108.44,77.83,644.7773489,52.09,693.1717565,35.50,1,18.72,0.6,5.52,0.25,58.79,0,0.00,0.5,20.37,48.35,5.95,71.26,26.79,19.68,2.78,6.79,10.22,31.68,2.7,9.17,0,0.00,5.9,2.09,3,11.93,8.5,7.39,12.75,1.32,2.33
6029003810,2790,Kern ,93312,Bakersfield,-119.1367221,35.3762338,7.87,9.24,5-10%,0.063,93.59,15.10668241,98.99,0.058,21.22,787.64,86.19,16.35,8.79,0.00,0.00,749.5840048,55.39,566.94569,26.05,1,18.72,0,0.00,0,0.00,0,0.00,2,51.98,37.23,4.58,39.40,22.98,13.16,2.86,7.66,10.92,37.18,5.1,21.54,0.3,0.51,11.5,12.47,4.7,32.61,5.5,1.75,16.55,1.72,4.84
6073016612,6037,San Diego,92071,Santee,-116.9941684,32.8723023,7.86,9.23,5-10%,0.049,59.18,9.282395723,41.71,0.022,7.79,579.45,56.00,34.96,30.19,0.00,0.00,103.2831345,27.54,605.5712578,28.85,0,0.00,0,0.00,0.05,26.37,9,78.41,0.2,8.40,28.48,3.51,17.40,33.75,31.56,2.78,6.79,9.46,25.12,3.2,11.85,4.3,33.01,11.6,12.78,6,48.56,7.2,4.29,21.63,2.24,9.74
6001421800,2139,Alameda ,94703,Berkeley,-122.2782006,37.8802854,7.84,9.22,5-10%,0.029,4.79,9.049984366,38.39,0.127,45.05,108.41,3.93,59.91,65.41,0.00,0.00,1172.350667,64.28,288.7259092,7.70,0.5,8.76,10.5,50.18,0.01,8.74,2,24.15,0,0.00,25.25,3.11,10.93,57.21,65.65,0,0.00,9.89,28.98,2.4,7.63,0.4,0.87,12.2,14.05,5.8,46.14,11.1,17.04,24.34,2.52,12.72
6059099217,2388,Orange ,92646,Huntington Beach,-117.9514232,33.6640382,7.84,9.21,5-10%,0.042,31.51,11.00837996,54.97,0.059,21.44,347.12,28.54,26.00,18.76,2.96,50.61,3443.893392,85.14,1108.522316,64.41,0,0.00,3,22.97,0,0.00,0,0.00,0,0.00,31.15,3.83,22.86,30.08,25.22,2.54,4.88,10.57,34.72,1,1.87,2.2,17.48,10.6,10.40,6.3,52.65,8.3,6.86,19.73,2.05,7.57
6065044517,2258,Riverside ,92240,Desert Hot Springs,-116.5359901,33.9823125,7.83,9.19,5-10%,0.063,93.23,6.297869201,4.26,0.032,11.20,315.02,23.84,17.94,10.14,0.00,0.00,0.074921633,2.39,202.1712094,4.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12.43,1.53,0.17,70.79,78.90,4.95,51.01,21.19,91.25,5.6,23.81,1.4,10.45,23.3,38.43,4.8,33.92,11.5,18.75,49.40,5.12,49.45
6075012700,4027,San Francisco,94123,San Francisco,-122.4447181,37.8049898,7.83,9.18,5-10%,0.028,2.80,8.698837143,29.83,0.286,74.92,324.91,24.85,61.16,67.28,0.00,0.00,679.8580119,53.40,1092.975482,63.58,12.8,72.33,12.55,54.81,0.185,52.16,11,87.97,0,0.00,44.21,5.44,59.83,15.19,4.01,4.34,34.46,6.17,4.10,1.4,3.34,1.4,10.45,8.3,5.79,2.9,11.06,15.1,37.21,13.88,1.44,3.05
6081608013,3985,San Mateo,94404,San Mateo,-122.2619095,37.54088,7.83,9.17,5-10%,0.030,6.55,8.5696796,24.88,0.094,35.20,536.13,51.86,16.05,8.55,0.00,0.00,311.1396637,40.29,1483.080236,77.78,4.5,42.96,6.75,38.31,0,0.00,9,78.41,2.2,53.77,34.66,4.27,32.22,18.27,6.85,3.93,24.99,8.7,18.62,2.9,10.31,8.1,53.29,4,0.70,2.4,6.90,12.2,21.72,17.70,1.84,5.74
6065940900,1983,Riverside ,92234,Cathedral City,-116.4514939,33.7835901,7.83,9.16,5-10%,0.061,85.99,7.088070959,7.18,0.031,11.11,405.32,35.79,11.72,5.19,0.00,0.00,0.108847667,2.72,1044.850983,60.79,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,17.40,2.14,1.85,28.59,22.92,NA,NA,9.67,26.76,7.1,30.02,1.9,14.42,30.5,51.77,8.4,72.39,19.8,59.73,35.25,3.65,27.82
6089011900,4381,Shasta ,96073,Palo Cedro,-122.2576122,40.5229657,7.82,9.14,5-10%,0.046,48.24,9.271250132,41.54,0.011,4.24,625.58,59.63,19.40,11.43,6.49,56.63,18.04209997,13.82,227.1357776,5.10,0,0.00,0,0.00,0,0.00,1,13.12,0,0.00,20.93,2.58,4.75,21.81,11.53,6.21,79.19,10.82,36.69,1.9,5.35,0,0.00,21,33.63,2.4,6.90,14.6,34.67,29.29,3.04,18.93
6059099514,4846,Orange ,92649,Huntington Beach,-118.0609493,33.7222298,7.82,9.13,5-10%,0.040,24.31,11.39545228,59.10,0.036,13.08,344.83,28.06,18.04,10.20,0.00,0.00,5787.073405,93.08,699.2627331,36.08,0.1,2.43,6,36.37,0,0.00,10,84.20,0,0.00,30.19,3.72,21.10,27.16,20.33,1.67,1.01,11.59,43.02,7.9,33.13,1.1,7.56,7,3.74,1.3,1.57,17.6,49.62,20.29,2.10,8.28
6065045228,6049,Riverside ,92241,Desert Hot Springs,-116.2439847,33.8022017,7.81,9.12,5-10%,0.060,83.83,6.792927421,6.01,0.002,0.90,470.07,45.57,13.70,6.61,2.87,50.47,0.155069667,3.21,192.5197599,3.93,0,0.00,1.35,10.93,0.025,16.41,0,0.00,1,33.24,20.75,2.55,4.54,26.48,19.17,4.03,27.29,10.44,33.55,8.6,35.95,6.6,45.88,18.1,27.26,4.2,25.84,13.2,26.79,29.51,3.06,19.28
6061022800,4698,Placer ,95678,Roseville,-121.2771141,38.789047,7.81,9.10,5-10%,0.052,67.12,8.219409549,16.60,0.204,62.76,75.49,0.22,10.14,4.09,0.00,0.00,20.8867229,15.15,1845.623114,84.74,0.5,8.76,0,0.00,0,0.00,0,0.00,0,0.00,21.47,2.64,5.25,34.97,33.37,4.13,29.66,14.98,66.15,2.9,10.31,0,0.00,10.9,11.18,4.8,33.92,10.5,14.36,28.51,2.96,17.91
6061020605,6125,Placer ,95746,Granite Bay,-121.1936951,38.73169,7.81,9.09,5-10%,0.053,69.18,7.930579828,12.66,0.062,22.65,426.14,39.05,15.56,8.05,3.63,52.18,14.66605967,12.52,717.0682762,37.53,5.1,45.40,10,48.91,0,0.00,2,24.15,0,0.00,29.05,3.58,18.62,27.23,20.41,2.92,8.29,10.51,34.26,3.3,12.41,1.6,11.96,8.2,5.64,7.8,67.46,8.8,8.30,21.07,2.18,9.08
6083000502,6434,Santa Barbara,93105,Santa Barbara,-119.7296812,34.4449009,7.80,9.08,5-10%,0.040,24.69,7.673087769,10.74,0.083,30.99,697.84,68.61,56.81,61.08,0.00,0.00,0.24561,3.86,434.0498927,16.18,0,0.00,30.75,80.83,0.1,41.46,4,44.59,0,0.00,29.14,3.59,18.79,27.51,20.97,4.91,49.91,6.64,6.13,4.2,17.34,0.6,2.95,15.3,20.93,1.3,1.57,15.4,38.74,20.99,2.18,9.00
6001421700,3564,Alameda ,94709,Berkeley,-122.2701843,37.8819398,7.79,9.07,5-10%,0.029,4.99,9.073840161,38.79,0.122,43.88,108.41,3.93,62.44,68.97,0.00,0.00,1114.763021,63.33,188.8821877,3.81,2,27.73,11.05,51.46,0.025,16.41,2,24.15,0,0.00,26.96,3.32,14.11,22.93,13.09,3.31,13.14,7.18,8.49,2.1,6.26,4.5,34.49,26.3,44.03,5.4,41.23,16.2,42.68,22.65,2.35,10.79
6065044919,4646,Riverside ,92260,Palm Desert,-116.3648175,33.7653336,7.78,9.05,5-10%,0.061,84.78,7.128044213,7.38,0.083,30.85,398.22,34.37,8.34,2.77,0.00,0.00,0.106518733,2.65,995.1391542,57.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18.36,2.26,2.59,23,13.17,NA,NA,9.56,25.87,7,29.56,1.3,9.47,30.7,52.09,9.3,78.08,21.1,65.13,33.19,3.44,24.59
6037261101,3555,Los Angeles,90210,Beverly Hills,-118.4005365,34.1171681,7.78,9.04,5-10%,0.053,69.68,11.35614273,58.58,0.064,23.68,727.69,76.10,48.78,49.79,0.00,0.00,797.4983317,56.63,957.9380721,55.55,1,18.72,0,0.00,0,0.00,4,44.59,0,0.00,36.72,4.52,37.76,14.73,3.48,3.57,17.68,7.89,12.79,4.2,17.34,5.9,42.39,8.5,6.33,3.1,12.85,13.9,30.50,16.60,1.72,4.87
6111007510,6031,Ventura ,91362,Thousand Oaks,-118.8196834,34.223312,7.78,9.03,5-10%,0.050,60.52,9.168575755,40.15,0.050,18.17,709.97,73.54,6.00,1.57,0.00,0.00,9.0465501,10.90,1541.268171,78.79,0,0.00,0,0.00,0,0.00,7,68.85,0,0.00,28.23,3.47,16.86,19.22,8.19,5.24,58.56,6.94,7.38,2.5,8.21,4,30.83,8.7,6.68,4.3,27.44,11.6,19.19,21.59,2.24,9.68
6037620701,7184,Los Angeles,90278,Redondo Beach,-118.3812877,33.8699758,7.77,9.02,5-10%,0.040,25.04,11.9317044,74.69,0.156,52.64,422.81,38.54,26.37,19.30,0.00,0.00,2670.90332,78.25,1254.57526,70.85,4,39.89,2.5,18.91,0,0.00,5,52.00,0.2,8.40,37.89,4.66,41.42,22.51,12.52,2.73,6.34,8.97,20.78,1.6,4.11,1.3,9.47,10.1,9.46,4.4,28.48,16.3,43.16,16.07,1.67,4.48
6041108200,6549,Marin ,94903,San Rafael,-122.5475788,37.9988992,7.77,9.00,5-10%,0.030,7.13,8.467143828,21.94,0.091,34.15,194.45,6.43,32.88,27.69,0.00,0.00,351.1399994,42.00,1017.307278,59.01,0,0.00,0.6,5.52,0,0.00,0,0.00,0.5,20.37,18.26,2.25,2.51,25.45,17.37,4.18,30.84,9.32,23.73,9.8,40.25,8.4,54.47,29.1,49.36,NA,NA,13.2,26.79,33.35,3.46,24.79
6079010101,1743,San Luis Obispo,93446,Paso Robles,-120.7208175,35.6362276,7.75,8.99,5-10%,0.044,36.04,6.616861413,5.44,0.019,6.83,914.64,95.87,45.77,45.17,2.88,50.50,0.812981967,5.77,450.9886142,17.43,0.25,4.82,0,0.00,0.025,16.41,3,34.11,0,0.00,25.61,3.15,11.66,46.01,50.47,1.98,1.89,9.29,23.47,8.9,37.01,2,15.38,21.1,33.81,1.8,3.31,12.1,21.34,23.72,2.46,11.89
6085512047,5866,Santa Clara,95123,San Jose,-121.8445177,37.2410831,7.75,8.98,5-10%,0.040,24.84,8.097773032,14.80,0.053,19.19,289.69,18.44,40.18,37.31,0.00,0.00,39.79716617,19.52,578.3043677,26.66,0,0.00,1.75,13.76,0,0.00,0,0.00,0,0.00,14.31,1.76,0.52,51.89,58.86,5.38,61.71,11.68,43.58,12.3,48.15,4.1,31.47,12.3,14.23,6,48.56,8.8,8.30,42.43,4.40,38.95
6111007403,5842,Ventura ,91377,Oak Park,-118.7737939,34.1744737,7.75,8.97,5-10%,0.050,61.62,9.431286371,43.72,0.019,7.06,471.57,45.77,16.43,8.90,0.00,0.00,67.18956757,23.09,752.3267267,40.54,1,18.72,0,0.00,0,0.00,8,73.64,0,0.00,25.38,3.12,11.16,10.32,0.97,4.06,28.07,9.75,27.63,1.7,4.58,4.3,33.01,12.6,14.80,6.6,56.19,14.9,36.20,23.92,2.48,12.17
6075030202,4487,San Francisco,94122,San Francisco,-122.4673274,37.7630839,7.74,8.95,5-10%,0.028,3.22,8.609120197,26.47,0.170,56.29,257.97,13.56,48.75,49.74,0.00,0.00,535.1369934,47.86,853.3130188,48.03,1.75,24.83,1.5,13.28,0.025,16.41,0,0.00,0,0.00,24.07,2.96,8.70,23.71,14.23,5,52.36,7.95,13.40,5.1,21.54,11.2,65.94,17.2,25.25,0.6,0.26,7.9,5.79,25.21,2.61,13.75
6085503329,4257,Santa Clara,95135,San Jose,-121.7792597,37.3115068,7.74,8.94,5-10%,0.041,27.32,8.421847042,20.72,0.016,5.92,388.50,32.34,20.26,12.30,0.00,0.00,54.3760338,21.77,902.2671728,51.68,7,52.96,6,36.37,0,0.00,0,0.00,0,0.00,20.29,2.50,4.09,22.02,11.78,5.12,55.61,8.64,18.26,10.5,42.32,8.8,56.30,5.3,1.52,6.5,54.93,5,1.10,29.89,3.10,19.74
6073021205,7126,San Diego,91901,Alpine,-116.7811501,32.8287974,7.74,8.93,5-10%,0.058,78.98,7.739807892,11.25,0.070,26.00,242.45,8.90,35.25,30.68,0.00,0.00,123.8104095,29.62,468.0711309,18.44,1,18.72,0.5,4.99,0,0.00,4,44.59,0,0.00,21.54,2.65,5.29,22.42,12.41,4.3,33.73,8.52,17.34,8.3,35.05,1.2,8.54,26.4,44.21,3.9,22.06,21.3,65.90,28.16,2.92,17.45
6059032003,4720,Orange ,92691,Mission Viejo,-117.6672345,33.6050678,7.74,8.92,5-10%,0.050,62.89,9.226395766,40.88,0.170,56.34,323.85,24.78,28.96,22.63,0.00,0.00,986.2313437,60.80,954.0200178,55.33,0,0.00,9,45.21,0,0.00,0,0.00,0,0.00,29.98,3.69,20.67,24.03,14.84,3.29,12.77,12.04,46.32,4.3,17.74,0.5,1.98,10.2,9.71,4.3,27.44,12.3,22.19,20.23,2.10,8.20
6073009504,6752,San Diego,92071,Santee,-117.0284232,32.9019274,7.73,8.90,5-10%,0.049,57.31,9.032287874,38.03,0.031,10.94,307.66,20.67,14.22,6.95,0.97,41.80,86.16463217,25.07,1212.953969,69.21,4.2,40.57,0,0.00,0.255,58.84,4,44.59,0,0.00,32.10,3.95,25.34,9.93,0.82,5.61,67.17,5.01,1.05,3,10.94,2.5,19.93,9.8,8.76,3.2,14.05,11.8,20.05,18.88,1.96,6.82
6073010800,2784,San Diego,92118,Coronado,-117.182643,32.6906311,7.72,8.89,5-10%,0.040,24.62,10.45972421,52.27,0.187,59.69,300.98,19.76,40.27,37.50,0.00,0.00,571.0069987,49.08,789.3374921,43.43,7,52.96,25.8,76.53,0.275,60.26,5,52.00,1.75,41.22,42.73,5.26,55.54,23.87,14.67,3.57,17.68,5.97,3.43,1.1,2.19,0,0.00,17.3,25.49,5.3,40.34,10.4,13.89,14.15,1.47,3.19
